time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-04-09T18:27:57.865Z,13.9374,-92.4364,35,4.5,mb,64,181,2.58,1.16,us,us6000k33w,2023-04-09T18:54:16.040Z,"68 km SSW of Ocós, Guatemala",earthquake,8.75,1.972,0.039,199,reviewed,us,us
2023-04-09T15:30:35.303Z,9.3545,147.2478,10,5.3,mb,48,147,4.812,0.89,us,us6000k32y,2023-04-09T15:47:35.040Z,"State of Yap, Federated States of Micronesia",earthquake,11.04,1.909,0.049,142,reviewed,us,us
2023-04-09T13:08:56.590Z,17.955,-66.9518,13,4.5,ml,24,202,0.0753,0.15,pr,pr2023099000,2023-04-11T04:48:10.170Z,"4 km WSW of Guánica, Puerto Rico",earthquake,0.72,0.38,0.13,9,reviewed,pr,pr
2023-04-09T12:17:33.679Z,8.9691,93.9718,10,5.6,mww,104,40,4.746,0.78,us,us6000k314,2023-04-10T13:25:40.040Z,"Nicobar Islands, India region",earthquake,7.64,1.84,0.069,20,reviewed,us,us
2023-04-09T10:31:20.480Z,8.924,93.9567,10,5.5,mww,108,45,2.965,0.67,us,us6000k2zy,2023-04-10T10:34:46.527Z,"Nicobar Islands, India region",earthquake,7.11,1.843,0.065,23,reviewed,us,us
2023-04-09T09:29:47.365Z,9.1324,93.9541,10.486,4.6,mb,49,69,2.776,0.63,us,us6000k2zp,2023-04-09T09:49:16.040Z,"Nicobar Islands, India region",earthquake,8.29,4.485,0.084,42,reviewed,us,us
2023-04-09T07:46:15.773Z,9.0648,94.0249,10,5.4,mww,91,43,4.789,1.03,us,us6000k2z6,2023-04-10T13:43:38.040Z,"Nicobar Islands, India region",earthquake,6.68,1.84,0.073,18,reviewed,us,us
2023-04-09T05:20:34.061Z,-9.5,117.7326,64.708,4.6,mb,54,86,0.67,0.82,us,us6000k2yt,2023-04-09T05:49:03.040Z,"116 km SSE of Sumbawa Besar, Indonesia",earthquake,6.05,5.912,0.091,42,reviewed,us,us
2023-04-09T02:14:51.482Z,-21.7226,170.9713,138.83,4.9,mb,32,109,3.385,0.88,us,us6000k2xz,2023-04-09T02:30:24.040Z,"southeast of the Loyalty Islands",earthquake,8.94,8.101,0.108,27,reviewed,us,us
2023-04-09T01:21:13.958Z,0.9115,-28.3256,10,5.1,mb,55,52,14.726,0.59,us,us6000k2xs,2023-04-09T01:39:27.040Z,"central Mid-Atlantic Ridge",earthquake,10.93,1.854,0.057,101,reviewed,us,us
